freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
3.467,-93.14,220.4E-9,10.00E-3
3.475,-93.14,220.4E-9,10.00E-3
3.483,-93.14,220.4E-9,10.00E-3
3.491,-93.14,220.4E-9,10.00E-3
3.499,-93.14,220.4E-9,10.00E-3
3.508,-93.14,220.4E-9,10.00E-3
3.516,-93.14,220.4E-9,10.00E-3
3.524,-93.14,220.4E-9,10.00E-3
3.532,-93.14,220.4E-9,10.00E-3
3.540,-93.14,220.4E-9,10.00E-3
3.548,-93.14,220.4E-9,10.00E-3
3.556,-93.14,220.4E-9,10.00E-3
3.565,-93.14,220.4E-9,10.00E-3
3.573,-93.14,220.4E-9,10.00E-3
3.581,-93.14,220.4E-9,10.00E-3
3.589,-93.14,220.4E-9,10.00E-3
3.597,-93.14,220.4E-9,10.00E-3
3.606,-93.14,220.4E-9,10.00E-3
3.614,-93.14,220.4E-9,10.00E-3
3.622,-93.14,220.4E-9,10.00E-3
3.631,-93.14,220.4E-9,10.00E-3
3.639,-93.14,220.4E-9,10.00E-3
3.648,-93.14,220.4E-9,10.00E-3
3.656,-93.14,220.4E-9,10.00E-3
3.664,-93.14,220.4E-9,10.00E-3
3.673,-93.14,220.4E-9,10.00E-3
3.681,-93.14,220.4E-9,10.00E-3
3.690,-93.14,220.4E-9,10.00E-3
3.698,-93.14,220.4E-9,10.00E-3
3.707,-93.14,220.4E-9,10.00E-3
3.715,-93.14,220.4E-9,10.00E-3
3.724,-93.14,220.4E-9,10.00E-3
3.733,-93.14,220.4E-9,10.00E-3
3.741,-93.14,220.4E-9,10.00E-3
3.750,-93.14,220.4E-9,10.00E-3
3.758,-93.14,220.4E-9,10.00E-3
3.767,-93.14,220.4E-9,10.00E-3
3.776,-93.14,220.4E-9,10.00E-3
3.784,-93.14,220.4E-9,10.00E-3
3.793,-93.14,220.4E-9,10.00E-3
3.802,-93.14,220.4E-9,10.00E-3
3.811,-93.14,220.4E-9,10.00E-3
3.819,-93.14,220.4E-9,10.00E-3
3.828,-93.14,220.4E-9,10.00E-3
3.837,-93.14,220.4E-9,10.00E-3
3.846,-93.14,220.4E-9,10.00E-3
3.855,-93.14,220.4E-9,10.00E-3
3.864,-93.14,220.4E-9,10.00E-3
3.873,-93.14,220.4E-9,10.00E-3
3.882,-93.14,220.4E-9,10.00E-3
3.890,-93.14,220.4E-9,10.00E-3
3.899,-93.14,220.4E-9,10.00E-3
